"","Country","FitW","FitW_score","IoEF","IoEF_score","PFI","PFI_score","DI","DI_score","FitW_or","IoEF_or","PFI_or","DI_or"
"138","BURUNDI",1,14,1,41.9,2,52.14,1,2.14,"1_veryLow","1_veryLow","2_low","1_veryLow"
"139","CENTRAL AFRICAN REPUBLIC",1,7,1,43.8,3,57.56,1,1.32,"1_veryLow","1_veryLow","3_medium","1_veryLow"
"140","VIETNAM",1,19,3,61.8,1,24.58,1,2.94,"1_veryLow","3_medium","1_veryLow","1_veryLow"
"141","RUSSIA",1,16,2,53.8,1,34.77,1,3.31,"1_veryLow","2_low","1_veryLow","1_veryLow"
"142","BAHRAIN",1,12,3,62.5,1,30.59,1,2.49,"1_veryLow","3_medium","1_veryLow","1_veryLow"
"143","EQUATORIAL GUINEA",1,5,1,48.3,2,50.35,1,1.92,"1_veryLow","1_veryLow","2_low","1_veryLow"
"144","EGYPT",1,18,1,49.6,1,33.37,1,2.93,"1_veryLow","1_veryLow","1_veryLow","1_veryLow"
"145","LAOS",1,13,2,50.3,1,36.66,1,1.77,"1_veryLow","2_low","1_veryLow","1_veryLow"
"146","SAUDI ARABIA",1,8,2,58.3,1,32.43,1,2.08,"1_veryLow","2_low","1_veryLow","1_veryLow"
"147","BELARUS",1,8,2,51,1,37.17,1,2.59,"1_veryLow","2_low","1_veryLow","1_veryLow"
"148","TAJIKISTAN",1,7,2,50.6,1,39.06,1,1.94,"1_veryLow","2_low","1_veryLow","1_veryLow"
"149","BURMA",1,9,1,46.5,1,28.26,1,3.04,"1_veryLow","1_veryLow","1_veryLow","1_veryLow"
"150","SUDAN",1,10,1,32.8,2,40.83,1,2.54,"1_veryLow","1_veryLow","2_low","1_veryLow"
"151","CHINA",1,9,1,48.3,1,22.97,1,2.27,"1_veryLow","1_veryLow","1_veryLow","1_veryLow"
"152","IRAN",1,12,1,42.2,1,24.81,1,2.2,"1_veryLow","1_veryLow","1_veryLow","1_veryLow"
"153","VENEZUELA",1,15,1,25.8,1,36.99,1,2.76,"1_veryLow","1_veryLow","1_veryLow","1_veryLow"
"154","TURKMENISTAN",1,2,1,46.5,1,25.82,1,1.72,"1_veryLow","1_veryLow","1_veryLow","1_veryLow"
"155","ERITREA",1,3,1,39.5,1,27.86,1,2.15,"1_veryLow","1_veryLow","1_veryLow","1_veryLow"
"156","CUBA",1,12,1,24.3,1,29,1,2.84,"1_veryLow","1_veryLow","1_veryLow","1_veryLow"
"157","NORTH KOREA",1,3,1,2.9,1,21.72,1,1.08,"1_veryLow","1_veryLow","1_veryLow","1_veryLow"
